weather_id,city,latitude,longitude,date,temp_max,temp_min,precipitation,precip_probability,wind_max,wind_gusts,weather_code,temp_category,prec_category,prec_probability_category,wind_category,gust_category,weather_category,temp_risk,prec_risk,prec_probability_risk,wind_risk,gust_risk,weather_code_risk,risk_score,risk_level
1,Casablanca,33.5625,-7.625,2026-09-14,31.9,23.6,0.0,0,9.8,28.1,1,Normal,zero,Very Low,weak,weak,Low,0,0,0,0,0,25,2.5,Low
2,Casablanca,33.5625,-7.625,2026-09-15,28.8,22.2,0.0,0,11.3,31.7,45,Mild,zero,Very Low,normal,normal,Moderate,0,0,0,25,25,50,15.0,Low
3,Casablanca,33.5625,-7.625,2026-09-16,25.8,21.1,0.0,0,14.4,37.1,3,Mild,zero,Very Low,normal,normal,Moderate,0,0,0,25,25,50,15.0,Low
4,Casablanca,33.5625,-7.625,2026-09-17,25.7,19.9,0.0,0,12.3,34.2,3,Mild,zero,Very Low,normal,normal,Moderate,0,0,0,25,25,50,15.0,Low
5,Casablanca,33.5625,-7.625,2026-09-18,25.5,19.2,0.0,0,14.5,38.5,2,Mild,zero,Very Low,normal,normal,Low,0,0,0,25,25,25,12.5,Low
6,Casablanca,33.5625,-7.625,2026-09-19,28.3,20.0,0.0,3,15.3,37.8,45,Mild,zero,Very Low,normal,normal,Moderate,0,0,0,25,25,50,15.0,Low
7,Casablanca,33.5625,-7.625,2026-09-20,31.1,21.2,0.0,3,11.8,30.2,2,Normal,zero,Very Low,normal,normal,Low,0,0,0,25,25,25,12.5,Low
8,Tangier,35.75,-5.8125,2026-09-14,29.5,22.5,0.0,0,25.9,61.2,1,Mild,zero,Very Low,stong,strong,Low,0,0,0,50,50,25,22.5,Low
9,Tangier,35.75,-5.8125,2026-09-15,31.1,21.2,0.0,0,14.8,34.2,1,Normal,zero,Very Low,normal,normal,Low,0,0,0,25,25,25,12.5,Low
10,Tangier,35.75,-5.8125,2026-09-16,26.8,18.2,0.0,0,20.3,46.8,3,Mild,zero,Very Low,stong,normal,Moderate,0,0,0,50,25,50,20.0,Low
11,Tangier,35.75,-5.8125,2026-09-17,26.8,18.6,0.0,0,14.2,34.2,3,Mild,zero,Very Low,normal,normal,Moderate,0,0,0,25,25,50,15.0,Low
12,Tangier,35.75,-5.8125,2026-09-18,28.5,19.0,0.0,0,19.2,43.9,3,Mild,zero,Very Low,normal,normal,Moderate,0,0,0,25,25,50,15.0,Low
13,Tangier,35.75,-5.8125,2026-09-19,26.5,21.6,0.0,0,39.7,75.6,1,Mild,zero,Very Low,very strong,very strong,Low,0,0,0,75,75,25,32.5,Moderate
14,Tangier,35.75,-5.8125,2026-09-20,26.0,22.0,0.0,0,44.3,85.7,1,Mild,zero,Very Low,extreme,very strong,Low,0,0,0,100,75,25,37.5,Moderate
